DPTo;N_DPTO;N_MPIO;MPIO;PPH
27;Chocó;Lloró;27413;3.653027823
25;Cundinamarca;Pasca;25535;3.026480836
27;Chocó;Istmina;27361;3.395430368
25;Cundinamarca;Caqueza;25151;2.834757317
27;Chocó;Sipí;27745;3.203703704
25;Cundinamarca;Tibirita;25807;2.42204568
25;Cundinamarca;Tocancipá;25817;3.040419624
25;Cundinamarca;Chaguaní;25168;2.526996198
25;Cundinamarca;Nocaima;25491;2.586104218
25;Cundinamarca;El Peñón;25258;2.435211268
27;Chocó;Medio San Juan;27450;3.215095677
25;Cundinamarca;Funza;25286;3.034975781
25;Cundinamarca;San Francisco;25658;2.745231995
25;Cundinamarca;Gama;25299;2.725245317
25;Cundinamarca;Tenjo;25799;2.852385616
25;Cundinamarca;Cucunubá;25224;3.366778685
27;Chocó;Riosucio(2);27615;3.238323758
25;Cundinamarca;La Palma;25394;2.496922579
25;Cundinamarca;Silvania;25743;2.768496099
25;Cundinamarca;Tibacuy;25805;2.247293447
27;Chocó;Bahía Solano;27075;3.634504052
25;Cundinamarca;Gachala;25293;2.73625
25;Cundinamarca;Sopó;25758;3.170538678
27;Chocó;Alto Baudo;27025;4.478220228
25;Cundinamarca;Cajicá;25126;3.070071169
27;Chocó;Unguía;27800;3.259021652
25;Cundinamarca;Susa;25779;3.101634321
25;Cundinamarca;Ubalá;25839;3.109061091
27;Chocó;Nuquí;27495;4
25;Cundinamarca;Cachipay;25123;2.599215247
27;Chocó;Carmen del Darien;27150;3.538562092
25;Cundinamarca;Gutiérrez;25339;2.770711297
25;Cundinamarca;Gachetá;25297;2.760094213
25;Cundinamarca;Apulo;25599;2.621997912
25;Cundinamarca;Cogua;25200;3.203096539
25;Cundinamarca;Medina;25438;2.66605639
25;Cundinamarca;Puerto Salgar;25572;3.01525798
25;Cundinamarca;Anapoima;25035;2.669210641
25;Cundinamarca;Tausa;25793;3.248914616
25;Cundinamarca;Tena;25797;2.626788036
25;Cundinamarca;Chocontá;25183;3.298668885
25;Cundinamarca;Villapinzón;25873;3.394212219
25;Cundinamarca;Subachoque;25769;3.073775573
25;Cundinamarca;Guaduas;25320;2.978073018
25;Cundinamarca;Vergara;25862;2.648754915
25;Cundinamarca;Carmen de Carupa;25154;3.028865979
25;Cundinamarca;Guayabal de Siquima;25328;2.602166065
25;Cundinamarca;Choachí;25181;2.91477432
25;Cundinamarca;Tabio;25785;3.155943627
25;Cundinamarca;Sutatausa;25781;3.190533981
25;Cundinamarca;Guatavita;25326;3.067864271
25;Cundinamarca;San Cayetano;25653;2.742876526
27;Chocó;Bojaya;27099;3.934388394
25;Cundinamarca;Vianí;25867;2.606849315
25;Cundinamarca;Mosquera;25473;3.096130288
25;Cundinamarca;Anolaima;25040;2.500819672
25;Cundinamarca;Une;25845;2.995659722
27;Chocó;Medio Baudó;27430;3.589997325
27;Chocó;Bagadó;27073;3.608250938
27;Chocó;El Carmen de Atrato;27245;3.24702014
25;Cundinamarca;Agua de Dios;25001;2.590931018
25;Cundinamarca;Madrid;25430;3.085074669
25;Cundinamarca;Venecia;25506;2.715318869
25;Cundinamarca;Beltrán;25086;2.625954198
25;Cundinamarca;La Vega;25402;2.875192265
25;Cundinamarca;Macheta;25426;2.677718833
27;Chocó;San José del Palmar;27660;3.073567708
25;Cundinamarca;San Bernardo;25649;2.776862598
27;Chocó;Río Iro;27580;3.288517442
25;Cundinamarca;Guasca;25322;3.078439425
25;Cundinamarca;Bituima;25095;2.465631929
25;Cundinamarca;Villa de San Diego de Ubate;25843;3.238422927
25;Cundinamarca;Nemocón;25486;3.013339921
27;Chocó;Río Quito;27600;3.710563053
25;Cundinamarca;Fosca;25281;3.044759825
25;Cundinamarca;El Rosal;25260;2.967326464
25;Cundinamarca;Fusagasugá;25290;2.769202295
25;Cundinamarca;Supatá;25777;2.579694323
25;Cundinamarca;Paratebueno;25530;3.050056883
25;Cundinamarca;Albán;25019;2.871314927
25;Cundinamarca;Gachancipá;25295;3.079614886
25;Cundinamarca;Nilo;25488;3.716549296
25;Cundinamarca;Sibaté;25740;3.031980775
25;Cundinamarca;La Calera;25377;3.048561343
25;Cundinamarca;Suesca;25772;2.685440279
25;Cundinamarca;Lenguazaque;25407;3.290851955
25;Cundinamarca;Ubaque;25841;2.794053345
27;Chocó;El Cantón del San Pablo;27135;3.19222097
25;Cundinamarca;Topaipí;25823;2.414334471
25;Cundinamarca;Pandi;25524;2.725964306
27;Chocó;Juradó;27372;3.953801732
25;Cundinamarca;Soacha;25754;3.066228502
25;Cundinamarca;Nimaima;25489;2.33081571
25;Cundinamarca;Quetame;25594;2.976449275
25;Cundinamarca;Sasaima;25718;2.659164859
25;Cundinamarca;Chía;25175;2.970189267
25;Cundinamarca;Nariño;25483;2.443023256
25;Cundinamarca;Pacho;25513;2.678180382
25;Cundinamarca;Jerusalén;25368;2.064220183
27;Chocó;Condoto;27205;3.179600311
